id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_bayi,jumlah_kematian,satuan,tahun
244,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ANAK BALITA,5,ORANG,2023
245,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BAYI,203,ORANG,2023
246,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ANAK BALITA,1,ORANG,2023
247,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAYI,181,ORANG,2023
248,32,JAWA BARAT,3216,KABUPATEN BEKASI,ANAK BALITA,11,ORANG,2023
249,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BAYI,186,ORANG,2023
250,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ANAK BALITA,0,ORANG,2023
251,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BAYI,38,ORANG,2023
252,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,ANAK BALITA,4,ORANG,2023
253,32,JAWA BARAT,3271,KOTA BOGOR,BAYI,155,ORANG,2023
254,32,JAWA BARAT,3271,KOTA BOGOR,ANAK BALITA,11,ORANG,2023
255,32,JAWA BARAT,3272,KOTA SUKABUMI,BAYI,60,ORANG,2023
256,32,JAWA BARAT,3272,KOTA SUKABUMI,ANAK BALITA,4,ORANG,2023
257,32,JAWA BARAT,3273,KOTA BANDUNG,BAYI,157,ORANG,2023
258,32,JAWA BARAT,3273,KOTA BANDUNG,ANAK BALITA,12,ORANG,2023
259,32,JAWA BARAT,3274,KOTA CIREBON,BAYI,57,ORANG,2023
260,32,JAWA BARAT,3274,KOTA CIREBON,ANAK BALITA,1,ORANG,2023
261,32,JAWA BARAT,3275,KOTA BEKASI,BAYI,194,ORANG,2023
262,32,JAWA BARAT,3275,KOTA BEKASI,ANAK BALITA,8,ORANG,2023
263,32,JAWA BARAT,3276,KOTA DEPOK,BAYI,233,ORANG,2023
264,32,JAWA BARAT,3276,KOTA DEPOK,ANAK BALITA,25,ORANG,2023
265,32,JAWA BARAT,3277,KOTA CIMAHI,BAYI,75,ORANG,2023
266,32,JAWA BARAT,3277,KOTA CIMAHI,ANAK BALITA,2,ORANG,2023
267,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BAYI,113,ORANG,2023
268,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ANAK BALITA,16,ORANG,2023
269,32,JAWA BARAT,3279,KOTA BANJAR,BAYI,37,ORANG,2023
270,32,JAWA BARAT,3279,KOTA BANJAR,ANAK BALITA,11,ORANG,2023
